ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,SPOTIFY_FOLLOWER_COUNT,SPOTIFY_LISTENERS_COUNT,SPFOLDAY0,SPFOLDAY1,SPFOLDAY2,SPFOLDAY3,SPFOLDAY4,SPFOLDAY5,SPFOLDAY6,SPLISDAY0,SPLISDAY1,SPLISDAY2,SPLISDAY3,SPLISDAY4,SPLISDAY5,SPLISDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET,IG_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6
Sam Macpherson,Play Dumb,197467817,2023-02-02,2023-01-27T00:00:00.000Z,32918,87,6,6,1,true,0,48114,1176977,48114,48098,48085,48072,48041,47974,47858,1176977,1175482,1173382,1194338,1209338,1232725,1250126,32918,29639,32735,45782,39974,46381,67573,195292,14690,14690,14685,14682,14677,14682,14661,14594
Underscores,Count Of Three (You Can Eat $#,197467820,2023-01-26,2023-01-20T00:00:00.000Z,18833,17,6,6,1,true,0,51704,318751,51704,51633,51547,51454,51362,51180,51141,318751,302490,285060,269858,250084,216774,215684,18833,19916,22123,22516,19510,25529,40830,57581,26098,26098,26079,26051,26000,25979,25894,25720
Jason Derulo And Sped Up Songs,Whatcha Say (Sped Up),197467840,2023-01-19,2023-01-13T00:00:00.000Z,6547,15,6,6,1,true,39,927,1438706,927,886,4932,4929,4930,659,4931,1438706,1435748,26950,26892,26895,1364303,26424,6547,7643,8795,8485,6716,7611,9213,22356,,,,,,,,
Skrillex,Leave Me Like This,197469120,2023-01-19,2023-01-18T00:00:00.000Z,147993,0,1,6,1,true,46,8042394,21557798,8042394,,,,,,,21557798,,,,,,,147993,78315,,,,,,921847,11122200,11122200,,,,,,
Medium Build,Especially Me,197469296,2023-01-26,2023-01-25T00:00:00.000Z,4575,0,1,6,1,true,0,16701,262321,16701,16602,,,,,,262321,260451,,,,,,4575,3963,,,,,,18781,14704,14704,14450,,,,,
Medium Build,Day Forgives,197469297,2023-01-26,2023-01-25T00:00:00.000Z,4622,0,1,6,1,true,0,16701,262321,16701,16602,,,,,,262321,260451,,,,,,4622,4066,,,,,,19374,14704,14704,14450,,,,,
Medium Build,Atom,197469298,2023-01-26,2023-01-25T00:00:00.000Z,5676,0,1,6,1,true,0,16701,262321,16701,16602,,,,,,262321,260451,,,,,,5676,4948,,,,,,21671,14704,14704,14450,,,,,
Medium Build,Gimme Back My Soul,197469299,2023-01-26,2023-01-25T00:00:00.000Z,7824,0,1,6,1,true,0,16701,262321,16701,16602,,,,,,262321,260451,,,,,,7824,6437,,,,,,116710,14704,14704,14450,,,,,
TG Kommas,Out My Knoggin,197987664,2023-03-09,2023-03-03T00:00:00.000Z,13174,1667,6,6,1,true,0,13770,45238,13770,13746,13725,13697,13663,13634,13606,45238,45426,45553,45812,46095,46903,47313,13174,12668,12351,12957,11405,12129,7358,86188,134613,134613,134623,134490,134376,134198,134002,133680
Jax & Sped Up Nightcore,Victoria's Secret (Sped Up Version),198002216,2023-01-19,2023-01-18T00:00:00.000Z,5353,,1,6,1,true,25,410525,4834261,410525,410008,,,,,,4834261,4845376,,,,,,5353,4385,,,,,,28870,921588,921588,,,,,,
